"AIRPORT","PHASE","RANGE_NM","SECTOR","SECTOR_LABEL","SECTOR_SEQ","BEARING_FROM","BEARING_TO"
"EDDF","ARR",40,"BRG000-085","ARR BRG000-085",1,0,85
"EDDF","ARR",40,"BRG085-215","ARR BRG085-215",2,85,215
"EDDF","ARR",40,"BRG215-310","ARR BRG215-310",3,215,310
"EDDF","ARR",40,"BRG310-000","ARR BRG310-000",4,310,0
"EDDF","ARR",100,"BRG000-090","ARR BRG000-090",1,0,90
"EDDF","ARR",100,"BRG090-145","ARR BRG090-145",2,90,145
"EDDF","ARR",100,"BRG145-215","ARR BRG145-215",3,145,215
"EDDF","ARR",100,"BRG215-305","ARR BRG215-305",4,215,305
"EDDF","ARR",100,"BRG305-000","ARR BRG305-000",5,305,0
"EDDM","ARR",40,"BRG000-080","ARR BRG000-080",1,0,80
"EDDM","ARR",40,"BRG080-160","ARR BRG080-160",2,80,160
"EDDM","ARR",40,"BRG160-260","ARR BRG160-260",3,160,260
"EDDM","ARR",40,"BRG260-000","ARR BRG260-000",4,260,0
"EDDM","ARR",100,"BRG075-160","ARR BRG075-160",1,75,160
"EDDM","ARR",100,"BRG160-220","ARR BRG160-220",2,160,220
"EDDM","ARR",100,"BRG220-270","ARR BRG220-270",3,220,270
"EDDM","ARR",100,"BRG270-340","ARR BRG270-340",4,270,340
"EDDM","ARR",100,"BRG340-075","ARR BRG340-075",5,340,75
"EGKK","ARR",40,"BRG000-170","ARR BRG000-170",1,0,170
"EGKK","ARR",40,"BRG170-265","ARR BRG170-265",2,170,265
"EGKK","ARR",40,"BRG265-000","ARR BRG265-000",3,265,0
"EGKK","ARR",100,"BRG000-100","ARR BRG000-100",1,0,100
"EGKK","ARR",100,"BRG100-170","ARR BRG100-170",2,100,170
"EGKK","ARR",100,"BRG170-285","ARR BRG170-285",3,170,285
"EGKK","ARR",100,"BRG285-000","ARR BRG285-000",4,285,0
"EGLL","ARR",40,"BRG000-105","ARR BRG000-105",1,0,105
"EGLL","ARR",40,"BRG105-170","ARR BRG105-170",2,105,170
"EGLL","ARR",40,"BRG170-235","ARR BRG170-235",3,170,235
"EGLL","ARR",40,"BRG235-285","ARR BRG235-285",4,235,285
"EGLL","ARR",40,"BRG285-000","ARR BRG285-000",5,285,0
"EGLL","ARR",100,"BRG000-110","ARR BRG000-110",1,0,110
"EGLL","ARR",100,"BRG110-170","ARR BRG110-170",2,110,170
"EGLL","ARR",100,"BRG170-235","ARR BRG170-235",3,170,235
"EGLL","ARR",100,"BRG235-295","ARR BRG235-295",4,235,295
"EGLL","ARR",100,"BRG295-000","ARR BRG295-000",5,295,0
"EHAM","ARR",40,"BRG000-150","ARR BRG000-150",1,0,150
"EHAM","ARR",40,"BRG150-255","ARR BRG150-255",2,150,255
